tilt,key_resp.corr,,,,
10,1,,,,
-6,1,,,,
-5,1,,,,
5,1,,,,
5,1,,,,
-5,0,,,,
-7,0,,,,
-9,0,,,,
10,0,,,,
10,0,,,,
-10,0,,,,
10,1,,,,
10,0,,,,
10,0,,,,
-10,0,,,,
10,0,,,,
10,0,,,,
-10,0,,,,
-10,0,,,,
-10,0,,,,
10,1,,,,
10,1,,,,
-10,1,,,,
-8,0,,,,
9,1,,,,
9,1,,,,
-9,1,,,,
8,1,,,,
-8,0,,,,
9,0,,,,
-10,0,,,,
-10,0,,,,
10,1,,,,
10,0,,,,
10,0,,,,
-10,0,,,,
10,0,,,,
10,0,,,,
-10,0,,,,
10,0,,,,
10,1,,,,
10,1,,,,
-10,1,,,,
-9,0,,,,
10,1,,,,
-10,0,,,9.8,
-10,0,,,,
10,1,,,,
10,1,,,,
10,0,,,,
10,0,,,,
10,0,,,,
10,1,,,,
-10,0,,,,
-10,0,,,,
10,0,,,,
-10,0,,,,
-10,1,,,,
-10,0,,,,
10,0,,,,
-10,0,,,,
-10,0,,,,
10,0,,,,
10,0,,,,
10,0,,,,
-10,0,,,,
-10,0,,,,
10,1,,,,
-10,0,,,,
-10,0,,,,
10,0,,,,
10,1,,,,
10,1,,,,
10,1,,,,
-9,1,,,,
-9,0,,,,
-10,0,,,,
-10,0,,,,
-10,0,,,,
-10,0,,,,
10,1,,,,
10,1,,,,
-10,0,,,,
10,0,,,,
10,0,,,,
-10,0,,,,
10,0,,,,
-10,0,,,,
10,0,,,,
10,0,,,,
10,0,,,,
10,0,,,,
-10,1,,,,
10,1,,,,9.75
-10,1,,,,
9,0,,,,
-10,1,,,,
-10,0,,,,
-10,0,,,,
-10,0,,,,
