WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,BlankScreen.stopped,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,blank_screen.started,textblank.started,textblank.stopped,blank_screen.stopped,y_n_screen.started,text_y_n_screen.started,key_y_n.started,y_n_screen.stopped,key_y_n.keys,key_y_n.rt,key_y_n.duration,BlankScreen_2.started,text_blankscreen.started,text_blankscreen.stopped,BlankScreen_2.stopped,TestTrials.started,textTestTrials.started,key_resp.started,TestTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,textBlank.stopped,EndScreen.started,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.002949900008388795,0.008452400012174621,0.008452400012174621,3.597045000002254,space,3.558122900009039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,3.597128800000064,3.6017806000018027,4.0977036000113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.097789200008265,4.113625800004229,4.113625800004229,8.016557700000703,space,3.9006648999929894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
content,yellow,0,0,0,,,,0,0,0,5,,,,,8.04807580000488,,,,,,,,,10.030225700000301,10.046645000009448,10.529810899999575,,,,,,,,8.043147900010808,8.04807580000488,10.03015000000596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
excited,yellow,1,1,0,,,,0,1,1,3,,,,,10.546335800012457,,,,,,,,,12.530264500004705,12.546324000009918,13.030342000012752,,,,,,,,10.535902800009353,10.546335800012457,12.530159800007823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
depression,blue,2,2,0,,,,0,2,2,1,,,,,13.046141700004227,,,,,,,,,15.030006000000867,15.046139300000505,15.530191800004104,,,,,,,,13.037144600006286,13.046141700004227,15.02993050000805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
anxiety,blue,3,3,0,,,,0,3,3,0,,,,,15.546165000007022,,,,,,,,,17.530256500001997,17.546233400003985,18.02992900001118,,,,,,,,15.535495200005244,15.546165000007022,17.530158599998686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
joyous,yellow,4,4,0,,,,0,4,4,4,,,,,18.045884200008004,,,,,,,,,20.029726400010986,20.046100800012937,20.52966660000675,,,,,,,,18.038824200004456,18.045884200008004,20.02966520001064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
vexed,blue,5,5,0,,,,0,5,5,2,,,,,20.545464200011338,,,,,,,,,22.529670100004296,22.545834400007152,23.029315899999347,,,,,,,,20.53781870000239,20.545464200011338,22.529589400000987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.02960080000048,23.045799900006386,23.045799900006386,26.33197180001298,1,3.2696785000007367,None,,,,,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.33208240001113,26.345323700006702,26.8455083000008,26.83020039999974,,,,,,,,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.830312800011598,26.8455083000008,26.8455083000008,30.348308000000543,space,3.4861576999974204,None,,,,,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.348419500005548,30.36193140000978,30.86966540000867,30.847901000001002,,,,,,,,,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
ashamed,None,0,0,0,n,1.7730192000017269,None,,,,,0,0,0,8,30.86966540000867,,,,,,,,,32.64733460001298,32.66161640000064,33.14759760000743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.864437000011094,30.86966540000867,30.86966540000867,32.64721809999901,n,1.7730192000017269,None,33.16171700000996,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
delighted,None,1,1,0,n,1.3247507999913068,None,,,,,0,1,1,11,33.16171700000996,,,,,,,,,34.49852620001184,34.51168290000351,34.995718900012434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.151046900005895,33.16171700000996,33.16171700000996,34.498386600011145,n,1.3247507999913068,None,35.01148030000331,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
calm,None,2,2,0,n,1.5187134000007063,None,,,,,0,2,2,10,35.01148030000331,,,,,,,,,36.54686740000034,36.56175660000008,37.04720910001197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.999299800008885,35.01148030000331,35.01148030000331,36.5467076000059,n,1.5187134000007063,None,37.06134530001145,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
depression,blue,3,3,0,y,1.291395399995963,None,,,,,0,3,3,1,37.06134530001145,,,,,,,,,38.36465670001053,38.37793140001304,38.86203060000844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.051942300007795,37.06134530001145,37.06134530001145,38.364526700010174,y,1.291395399995963,None,38.87784549999924,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
excited,yellow,4,4,0,y,1.9258816000074148,None,,,,,0,4,4,3,38.87784549999924,,,,,,,,,40.81354960000317,40.828070500007016,41.31336559999909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.86638330000278,38.87784549999924,38.87784549999924,40.81344180001179,y,1.9258816000074148,None,41.327570200010086,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
jealous,,5,5,0,n,1.6043888999993214,None,,,,,0,5,5,6,41.327570200010086,,,,,,,,,42.94715300000098,42.96134439999878,43.445139400006155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.31829990001279,41.327570200010086,41.327570200010086,42.94703410001239,n,1.6043888999993214,None,43.46083830000134,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
content,yellow,6,6,0,y,1.685296899988316,None,,,,,0,6,6,5,43.46083830000134,,,,,,,,,45.16409130000102,45.177653800012195,45.663257700012764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.44856250000885,43.46083830000134,43.46083830000134,45.163952400005655,y,1.685296899988316,None,45.67738940000709,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
aggravated,None,7,7,0,n,1.3721535999939078,None,,,,,0,7,7,9,45.67738940000709,,,,,,,,,47.063529899998684,47.07751190000272,47.563257100002375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6688875000109,45.67738940000709,45.67738940000709,47.06341180000163,n,1.3721535999939078,None,47.57726900000125,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
fascinated,None,8,8,0,n,1.6309489000122994,None,,,,,0,8,8,7,47.57726900000125,,,,,,,,,49.214631499999086,49.22733050001261,49.712822700006654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.56827460000932,47.57726900000125,47.57726900000125,49.2144915000099,n,1.6309489000122994,None,49.72726070000499,,,224663,001,2024-12-01_22h10.34.687,short term memory,2024.2.4,60.030927935457484,2024-12-01 22h10.58.129739 +0530,
