WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,textBlank.stopped,BlankScreen.stopped,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,blank_screen.started,textblank.started,textblank.stopped,blank_screen.stopped,y_n_screen.started,text_y_n_screen.started,key_y_n.started,y_n_screen.stopped,key_y_n.keys,key_y_n.rt,key_y_n.duration,BlankScreen_2.started,text_blankscreen.started,text_blankscreen.stopped,BlankScreen_2.stopped,TestTrials.started,textTestTrials.started,key_resp.started,TestTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,EndScreen.started,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0036229999968782067,0.009529400005703792,0.009529400005703792,1.6656873000029009,space,1.6339315999939572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,1.6657961000018986,1.673739400008344,2.1740702999959467,2.160464700005832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1605780000099912,2.1740702999959467,2.1740702999959467,2.7268139000079827,space,0.5450364999996964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
vexed,blue,0,0,0,,,,0,0,0,2,,,,,2.7488850000081584,,,,,,,,,4.740739600005327,4.757360999996308,,5.241310099998373,,,,,,,,2.7439030000095954,2.7488850000081584,4.740658700000495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
excited,yellow,1,1,0,,,,0,1,1,3,,,,,5.25708160000795,,,,,,,,,7.240981700000702,7.2573062000010395,,7.741292599996086,,,,,,,,5.247832200009725,5.25708160000795,7.240900899996632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
depression,blue,2,2,0,,,,0,2,2,1,,,,,7.757072000007611,,,,,,,,,9.74120760000369,9.757258700003149,,10.241022600006545,,,,,,,,7.748868800001219,7.757072000007611,9.741113700001733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
content,yellow,3,3,0,,,,0,3,3,5,,,,,10.25688519999676,,,,,,,,,12.241037500003586,12.257098900008714,,12.740869200002635,,,,,,,,10.246823399997083,10.25688519999676,12.240934300003573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
joyous,yellow,4,4,0,,,,0,4,4,4,,,,,12.756627099995967,,,,,,,,,14.740756600003806,14.756679600002826,,15.240866499996628,,,,,,,,12.748048499997822,12.756627099995967,14.74067680000735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
anxiety,blue,5,5,0,,,,0,5,5,0,,,,,15.256481899996288,,,,,,,,,17.240908699997817,17.256465099999332,,17.74054870000691,,,,,,,,15.246418499998981,15.256481899996288,17.240803499997128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.740790600000764,17.75659840001026,17.75659840001026,19.626088300006813,1,1.8525253999978304,None,,,,,,,,,,,,,,,,,,,,,,,,,707915,001,2024-12-01_22h20.11.170,short term memory,2024.2.4,59.899536497718664,2024-12-01 22h20.20.253237 +0530,
