WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcome.started,keyWelcome.started,WelcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,BlankScreen.started,textBlank.started,textBlank.stopped,BlankScreen.stopped,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,textStudyTrials.started,StudyTrials.stopped,WaitScreen.started,textWaitScreen.started,keyWaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,blank_screen.started,textblank.started,textblank.stopped,blank_screen.stopped,y_n_screen.started,text_y_n_screen.started,key_y_n.started,y_n_screen.stopped,key_y_n.keys,key_y_n.rt,key_y_n.duration,BlankScreen_2.started,text_blankscreen.started,text_blankscreen.stopped,BlankScreen_2.stopped,TestTrials.started,textTestTrials.started,key_resp.started,TestTrials.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,EndScreen.started,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0032484999974258244,0.007350800005951896,0.007350800005951896,4.272551999994903,space,4.255852300004335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,4.272625900004641,4.281233999994583,4.781388600007631,4.766472899995279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.766563800003496,4.781388600007631,4.781388600007631,5.417474500005483,space,0.6330755000089994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
vexed,blue,0,0,0,,,,0,0,0,2,,,,,5.441147300007287,,,,,,,,,7.432134100003168,7.447677300006035,,7.931714699996519,,,,,,,,5.435645999998087,5.441147300007287,7.431830400004401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
excited,yellow,1,1,0,,,,0,1,1,3,,,,,7.947538000007626,,,,,,,,,9.931525100008002,9.94795349999913,,10.431613799999468,,,,,,,,7.937677399997483,7.947538000007626,9.931453900004271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
joyous,yellow,2,2,0,,,,0,2,2,4,,,,,10.44751019999967,,,,,,,,,12.430974300004891,12.447327400004724,,12.931565399994724,,,,,,,,10.439248399998178,10.44751019999967,12.43088379999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
depression,blue,3,3,0,,,,0,3,3,1,,,,,12.947290299998713,,,,,,,,,14.931377700006124,14.947640800004592,,15.431606199999806,,,,,,,,12.937582700003986,12.947290299998713,14.931254800001625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
content,yellow,4,4,0,,,,0,4,4,5,,,,,15.447254099999554,,,,,,,,,17.43116760000703,17.447183800002676,,17.93081570000504,,,,,,,,15.436341000007815,15.447254099999554,17.43107790000795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
anxiety,blue,5,5,0,,,,0,5,5,0,,,,,17.94711950000783,,,,,,,,,19.93070599999919,19.94720419999794,,20.43078300000343,,,,,,,,17.936335799997323,17.94711950000783,19.93062880000798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.431022000004305,20.446939100002055,20.446939100002055,25.082969299997785,1,4.63141529999848,None,,,,,,,,,,,,,,,,,,,,,,,,,350439,001,2024-12-01_23h05.08.382,short term memory,2024.2.4,59.92649416414569,2024-12-01 23h05.19.919085 +0530,
