Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Routine_2.started,text_2.started,textbox.started,text_3.started,mouse.started,Routine_2.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,p_nc_l,Pencil,new,pencil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_a_bl_,Marble,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_s_io_,Cushion,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_oo_,Book,old,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_st_r,Poster,old,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_o_rd,Board,old,board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ho_e,Phone,old,phone,,prop hit from study list,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ou_se,mouse,old,mouse,,prop hit from non primed words,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l_pt_p,Laptop,old,laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bo_t_e,Bottle,new,bottle,,priming score,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ta_l_,Table,new,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ha_t,Chart,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,v_s_,Vase,new,vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T_hi_t,Tshirt,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ru_is,Cruise,old,tshirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_m_ra,Camera,new,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_li_e,Police,old,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_s_,Case,old,case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K_y_,Keys,old,keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_as_tr_,Pastry,old,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
